beneficiary_id,village_id,village_name,gp_id,block_id,district,state,first_name,last_name,father_husband_name,gender,age,tribal_community,family_size,annual_income,education_level,occupation,aadhaar_number,mobile_number,bank_account,ifsc_code,created_date,updated_date
FRA_00000001,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,रोहन,अगरवाल,सुधीर,Male,48,Bhil,5,34671,Primary,Agriculture,7870-4678-6272,+91-8066282253,BANK_450985964040,SBIN0045554,2021-04-28,2024-12-14
FRA_00000002,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,बृजेश,घोष,सुरेश,Male,54,Bhil,2,80803,Illiterate,Forest_Produce,4656-9450-1752,+91-8721959126,BANK_951616023363,SBIN0050723,2022-01-13,2025-05-18
FRA_00000003,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,तृष्णा,वेंकटएसन,भारत,Female,23,Bharia,5,16044,Middle,Forest_Produce,5777-5979-4974,+91-8992549954,BANK_750121784866,SBIN0074665,2022-08-15,2025-06-24
FRA_00000004,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अमर,दास,जगदीश,Male,64,Bharia,8,47129,Primary,Agriculture,7718-1391-4817,+91-9325918921,BANK_797272580412,SBIN0011257,2021-04-24,2025-07-07
FRA_00000005,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,तारा,रेड्डी,प्रणव,Female,18,Kol,8,55306,Illiterate,Forest_Produce,9680-4902-7878,+91-9113247935,BANK_168552767851,SBIN0028661,2021-03-11,2025-01-22
FRA_00000006,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,कमला,जेटली,राम,Female,23,Gond,3,83125,Secondary,Daily_Labor,8511-2391-2565,+91-9170795726,BANK_800653106852,SBIN0061688,2024-12-20,2025-05-21
FRA_00000007,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,राज,सरकार,सूर्य,Male,55,Bharia,2,72014,Primary,Forest_Produce,5778-5276-6161,+91-8687718878,BANK_459640602106,SBIN0051688,2021-11-18,2025-03-03
FRA_00000008,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,आकाङ्क्षा,डी’सोउज़ा,जौहर,Female,35,Baiga,2,41569,Primary,Agriculture,3546-2731-3693,+91-8930874468,BANK_445599075156,SBIN0063282,2024-11-24,2025-08-02
FRA_00000009,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,महात्मा,सिन्हा,देवदान,Male,52,Bhil,8,42215,Secondary,Daily_Labor,8591-5341-2964,+91-7388354759,BANK_985440215860,SBIN0099922,2025-03-28,2024-10-19
FRA_00000010,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अरुंधती,शर्मा,पल्लव,Female,70,Bharia,2,43183,Middle,Forest_Produce,2494-5066-6828,+91-8701857002,BANK_153744900064,SBIN0098759,2020-10-17,2025-07-31
FRA_00000011,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,दीपाली,डी’सोउज़ा,अरुण,Female,34,Baiga,2,68004,Secondary,Forest_Produce,2551-8570-2669,+91-7600406558,BANK_113406539667,SBIN0018083,2024-06-27,2024-11-15
FRA_00000012,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अनिरुद्ध,शर्मा,नवीन,Male,26,Baiga,8,67505,Middle,Agriculture,5240-2228-1357,+91-7276905285,BANK_588105797047,SBIN0026880,2024-08-28,2025-05-29
FRA_00000013,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,हनुमान्,शाह,पीताम्बर,Male,75,Bhil,2,20596,Secondary,Agriculture,3752-8096-7471,+91-9130846652,BANK_516738453198,SBIN0099550,2021-04-16,2025-01-05
FRA_00000014,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,पुष्पा,सिंह,संजीव,Female,29,Bhil,3,39530,Middle,Daily_Labor,8307-3435-1567,+91-9637567649,BANK_776969208494,SBIN0042215,2021-10-13,2024-11-11
FRA_00000015,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,इन्द्रजित,साहा,कशोर,Female,49,Kol,6,77787,Illiterate,Agriculture,5583-7275-3248,+91-8800599868,BANK_805231301283,SBIN0078919,2022-09-07,2024-09-27
FRA_00000016,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,इला,शाह,विपुल,Male,58,Bharia,8,17559,Secondary,Daily_Labor,8859-9921-8940,+91-8477615282,BANK_722395208552,SBIN0075849,2021-11-09,2025-02-06
FRA_00000017,VIL_000001,चिरमिरी,GP_000001,BLK_000001,Mandla,Madhya Pradesh,इला,जैन,जय,Female,42,Bhil,3,18416,Middle,Forest_Produce,1480-5602-1959,+91-9025869016,BANK_493115918317,SBIN0086544,2024-04-21,2025-08-05
FRA_00000018,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,श्यामल,यादव,दिलीप,Male,24,Baiga,7,46608,Middle,Agriculture,4594-7363-6813,+91-7746087503,BANK_358454383092,SBIN0087662,2023-08-04,2024-11-11
FRA_00000019,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,संजना,डी’कोस्टा,ओम,Female,69,Bhil,6,18697,Middle,Forest_Produce,4084-9064-9882,+91-8327372855,BANK_637624922571,SBIN0014975,2022-07-31,2025-06-14
FRA_00000020,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,आदित्य,जैन,पल्लव,Male,21,Baiga,6,43679,Illiterate,Animal_Husbandry,1011-6435-4300,+91-7560448350,BANK_887442564119,SBIN0033260,2022-08-07,2024-12-13
FRA_00000021,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,निखिला,आचार्य,मनीश,Female,21,Gond,3,33566,Illiterate,Daily_Labor,2188-7120-7481,+91-9516922421,BANK_469801117324,SBIN0049552,2023-03-18,2025-05-03
FRA_00000022,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,आशा,खत्री,स्वर्ण,Female,26,Baiga,7,72261,Secondary,Daily_Labor,3854-6846-4657,+91-9858436754,BANK_995882719207,SBIN0032983,2024-07-23,2025-09-19
FRA_00000023,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,दीप्ति,रोद्रिगुएस,राम,Female,37,Bhil,3,38292,Illiterate,Animal_Husbandry,1530-3983-6213,+91-9625862062,BANK_801028407121,SBIN0084127,2021-07-15,2024-11-06
FRA_00000024,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,माधव,मालिक,स्वर्ण,Male,49,Baiga,4,25198,Primary,Daily_Labor,6234-3750-2453,+91-9877733629,BANK_901608842197,SBIN0054007,2024-12-15,2025-05-03
FRA_00000025,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अभिलाषा,श्रीवास्तव,हरेन्द्र,Female,18,Bhil,3,47707,Illiterate,Daily_Labor,5205-2770-1020,+91-7206791755,BANK_582693924356,SBIN0065004,2022-11-13,2025-01-17
FRA_00000026,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,विनय,वेंकटएसन,महावीर,Male,74,Kol,5,64638,Middle,Animal_Husbandry,2661-8855-4695,+91-7698604397,BANK_179247676042,SBIN0014379,2022-10-23,2024-11-09
FRA_00000027,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अमृता,राय,किरण,Female,19,Bhil,4,28726,Illiterate,Daily_Labor,3787-7151-3636,+91-7322132937,BANK_469767069027,SBIN0087860,2024-11-29,2025-03-01
FRA_00000028,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,आनन्दा,मालिक,रतन,Female,63,Gond,5,36626,Graduate,Animal_Husbandry,3573-1877-2659,+91-8422040412,BANK_547492574952,SBIN0082628,2023-06-26,2025-03-31
FRA_00000029,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,एषा,यादव,जगजीत,Female,60,Bhil,4,46135,Illiterate,Agriculture,7437-9043-3516,+91-7234096568,BANK_101549748436,SBIN0066047,2024-11-28,2024-10-18
FRA_00000030,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,नारायण,देशपांडे,यश,Male,36,Bharia,5,41171,Illiterate,Agriculture,4390-3798-5781,+91-7351912852,BANK_435503556153,SBIN0062096,2023-04-10,2024-10-01
FRA_00000031,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,रुक्मिणी,वर्मा,ख़ान,Female,49,Bhil,2,65793,Primary,Daily_Labor,7249-7052-4056,+91-8914590233,BANK_387954437064,SBIN0067637,2022-07-13,2025-06-30
FRA_00000032,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,पार्वती,रंगराजन,सरल,Female,34,Baiga,8,50200,Graduate,Agriculture,3476-2584-2404,+91-9869644485,BANK_986239835712,SBIN0080968,2023-04-01,2025-06-17
FRA_00000033,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,पद्मिनी,सुब्रमण्यम,बृजेश,Female,66,Bharia,3,22993,Secondary,Animal_Husbandry,9773-8779-4860,+91-9045530940,BANK_187182905952,SBIN0061747,2025-04-05,2024-12-12
FRA_00000034,VIL_000002,पाकाला,GP_000001,BLK_000001,Mandla,Madhya Pradesh,संजित,वेंकटएसन,सुरेन्द्र,Male,50,Bharia,6,34326,Illiterate,Animal_Husbandry,3832-3738-4471,+91-7827752234,BANK_143491637722,SBIN0065492,2021-02-06,2025-08-06
FRA_00000035,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,लीला,सेन,असीम,Female,30,Baiga,8,48801,Middle,Agriculture,2425-7358-7510,+91-9371054709,BANK_672416923870,SBIN0070051,2024-11-27,2025-02-24
FRA_00000036,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,सरल,चवन,प्रभात,Male,68,Bharia,6,83493,Secondary,Agriculture,7790-3451-3428,+91-9433502391,BANK_742475284991,SBIN0023133,2025-02-14,2025-09-25
FRA_00000037,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,सुन्दर,डी’कोस्टा,बलराम,Male,54,Gond,8,52498,Graduate,Daily_Labor,7732-5327-7275,+91-9812291645,BANK_729150796004,SBIN0089817,2022-09-10,2024-12-29
FRA_00000038,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,अभिलाषा,मुख़र्जी,कुणाल,Female,20,Baiga,4,67818,Primary,Animal_Husbandry,1635-7484-6431,+91-9965734008,BANK_152560002879,SBIN0072287,2024-05-09,2025-09-24
FRA_00000039,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,मञ्जुला,चवन,उत्तम,Female,75,Bhil,2,59284,Middle,Daily_Labor,5593-9054-2609,+91-7979069637,BANK_426994695907,SBIN0068079,2022-03-06,2024-10-15
FRA_00000040,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,शक्ति,नायर,मधुकर,Female,35,Kol,6,26703,Primary,Animal_Husbandry,4463-7671-8937,+91-9218356672,BANK_511746441386,SBIN0017367,2022-07-22,2025-09-23
FRA_00000041,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,जयन्त,साहा,प्रभाकर,Male,22,Bhil,7,81426,Secondary,Forest_Produce,9589-1474-3846,+91-7827912699,BANK_370830447947,SBIN0014334,2021-12-02,2024-11-07
FRA_00000042,VIL_000003,चंबा,GP_000001,BLK_000001,Mandla,Madhya Pradesh,लावण्या,टंडन,हरीश,Female,21,Bhil,7,41097,Middle,Daily_Labor,8605-9275-7503,+91-9729064332,BANK_237108556987,SBIN0099282,2024-05-13,2025-03-26
